id,type,text1,text2,text3,notes,Column 07
na_hardlightrifle,WEAPON,"""Earth's answer is a single atomic particle fired at near light speed directly into the cockpit core. A true weapon, from a military force. The quickest, most efficient, instantaneous, unavoidable way to kill a human, the most boring possible way to pointlessly die, no drama, no meaning, just nothing.""",- [REDACTED],,,
na_hardlightriflereal,WEAPON,"""..a drowning torrent, a reversed vacuum, a void of energy, an unignorable, undeniable deluge. Light with the substance and pressure and weight of water.""",- [REDACTED],,,
treble_ciws,WEAPON,Point-defense system with EMP ordnance for use against missiles and smallcraft.,,,,
haas_beamer,WEAPON,A miniaturized pulsed UV laser designed for small mounts. The compact optical system tends to overheat and warp causing the beam to deviate during firing.,,,,
detuned_haas_beamer,WEAPON,"An offshoot of the Haas line of weapons, trading power density for a more diffuse yet stable beam. Its armor-piercing capabilities leave much to be desired, but it retains a deadly punch against exposed hull.",,,,
na_stunpulse,WEAPON,"Fires a magnetically confined torus of spinning plasma. Projectile is stable until hitting shields or hull, at which point it disperses into charged, fast-moving ions that disrupt shields and electronics.",,,,
na_pyrowisp,WEAPON,Bombardment weapon designed for extended engagements. A disposable homing system steers a slow-moving ball of plasma toward enemy targets from long distances.,,,,
na_pyrowisp_medium,WEAPON,Bombardment weapon designed for extended engagements. A disposable homing system steers a slow-moving ball of plasma toward enemy targets from long distances.,,,,
na_interceptor,WEAPON,Point-defense plasma mote projector. Produces a deadly wall of volatile orbs to stop incoming ordnance.,,,,
na_pyrowisp_large,WEAPON,"Twin-linked pyrowisp system upgraded with a high-speed launch system. A guidance system sheds material to provide minor homing capabilities, but this reduces the range somewhat.",,,,
na_wavefront,WEAPON,A rack of Proximity-fused torpedoes. Each carries an EMP warhead which releases an omnidirectional ionic burst near the target.,,,,
na_wavefront_pod,WEAPON,A rack of Proximity-fused torpedoes. Each carries an EMP warhead which releases an omnidirectional ionic burst near the target.,,,,
na_wavefront_single,WEAPON,Proximity-fused torpedo with an EMP warhead. Releases an omnidirectional ionic burst near the target.,,,,
na_corrosion,WEAPON,"""Tearing holes in spacetime is nice and all, but the spatial aftershocks after testing made it real hard to sleep at night. I don't believe in ghosts, but something definitely got pissed off in there.""",- Excerpt from NCA Employee Termination Log,,,
na_corrosion_pod,WEAPON,"""Tearing holes in spacetime is nice and all, but the spatial aftershocks after testing made it real hard to sleep at night. I don't believe in ghosts, but something definitely got pissed off in there.""",- Excerpt from NCA Employee Termination Log,,,
na_rkkv,WEAPON,"More-or-less an ion thruster with an oversized propellant tank. Accelerates to great speed over time, dealing damage based on the impact velocity.",,,,
na_rkkv_medium,WEAPON,"A rack of Heavymetal RKKVs. These missiles accelerate to great speed over time, dealing damage based on the impact velocity.",,,,
na_rkkv_large,WEAPON,"A dedicated silo for Heavymetal RKKVs. These missiles accelerate to great speed over time, dealing damage based on the impact velocity.",,,,
na_laser,WEAPON,Standard free-electron laser tuned to a compromise between effect on shields and effect on target. A supercapacitor allows the weapon to fire in bursts without sacrificing range or efficiency.,,,,
na_lasermini,WEAPON,"Standard free-electron laser tuned to a compromise between effect on shields and effect on target. The end result is a weapon that is specialized as neither, but is favored for its range and accuracy.",,,,
na_heavy_beamer,WEAPON,Pulsed laser with a strong sustained damage output. Its range and efficiency are offset by its ineffectiveness against shields.,,,,
na_plasmabeam_med,WEAPON,"""The last team got dismissed for 'safety violations.' Didn't expect the DUT to saturate the meters on the lowest setting.","- NCA Engineering Log, Project 'Aria'",,,
na_corrosionbeam,WEAPON,"""It's not something that's impossible or anything, it's just something that's only possible in theory. Which is still terrifying, more terrifying.""",- [REDACTED],,,
na_hardfluxcannon,WEAPON,"""To whichever suit thought of weaponizing flux overload: Fuck you.""","- Corporate Email, Filter: All Company",,,
na_pulsecannon,WEAPON,An overdriven particle emitter designed to deliver a quick burst of disabling projectiles.,,,,
na_hominglaser,WEAPON,"""Solving Navier-Stokes for an amorphous plasma payload in five dimensions? Just add it to the issue tracker.""","- NCA Engineering Log, Project 'Aria'",,,
na_hominglaser_medium,WEAPON,"""Solving Navier-Stokes for an amorphous plasma payload in five dimensions? Just add it to the issue tracker.""","- NCA Engineering Log, Project 'Aria'",,,
na_pyrokinetic,WEAPON,"""An experimental 'plasma railgun' developed on Aria station, notable for the aesthetically pleasing fireworks that come out of the barrel. The feed system is versatile and allows great flexibility in mounting.""",- Unreleased pre-collapse Nightcross Armory catalogue,,,
na_metahelium,WEAPON,"""Helium atoms are forced through a resonant waveguide under intense laser excitation. The resulting stream of metastable helium explodes violently on impact, stripping armor efficiently.""",- Unreleased pre-collapse Nightcross Armory catalogue,,,
na_superblaster,WEAPON,"""Stabilizing these 'Heat Anomalies' proved a challenge initially, but tests aboard phase-craft showed marked improvements in anomaly lifetime. Let's place the whole diode assembly under phase distortion and see what happens.""","- NCA Engineering Log, Project 'Aria'",,,
na_superblaster_large,WEAPON,"""Stabilizing these 'Heat Anomalies' proved a challenge initially, but tests aboard phase-craft showed marked improvements in anomaly lifetime. Let's place the whole diode assembly under phase distortion and see what happens.""","- NCA Engineering Log, Project 'Aria'",,,
na_chirppd,WEAPON,"This weapon uses a resonant electron stream to channel a powerful destructive charge transfer. Targets too small to absorb the sudden EMF spike are rendered helpless, if not simply torn apart by electrostatic forces. Larger targets are unaffected.",,,,
na_mediumchirp,WEAPON,"Nicknamed the 'pizza slicer,' this powered-up Chirp PD uses a multi-stage capacitor setup to allow releasing multiple discharges per shot, often bisecting multiple fighters with each shot.",,,,
na_drill,WEAPON,"A plasma torch used for maintenance of friendly vessels and unmaintenance of enemy vessels. Ineffective against shields, but offers decent pressure against hull.",,,,
na_empdrill,WEAPON,Core discharge from the Shield Battery drone. Can fry unshielded systems but is solely used as a last resort.,,,,
na_minirazor_single,WEAPON,"This version is powered by a charge stored in a capacitor, and is not connected to any onboard flux grid.",,,,
na_minirazor,WEAPON,"Feared among fighter pilots and gunship crews alike, the Minirazor is a miniaturized antimatter cannon able to be mounted on strikecraft. Its output and range are considerably lower than that of its shipborne counterparts, but a strikecraft's ability to place a well-timed shot into the engines of an enemy vessel is unmatched.",,,,
na_lasermini_fighter,WEAPON,"A miniaturized electron laser, tuned to deliver an accurate, long-ranged blast under ideal conditions. This requires a cooling apparatus that takes up more internal space than the designers would like to admit.",,,,
na_energyorb_cannon,WEAPON,"A greatly overdriven stunpulse, able to deliver a powerful burst of damage at the cost of approximately 0.3% of the plasma containment toroid with each shot. Generally replaced along with the drone it's mounted on.",,,,
na_pulsecannon_fighter,WEAPON,"An ion bolter scaled down for fighter use. Short-ranged, but capable of crippling fighters in a duel, leaving them easy prey for followup attacks.",,,,
na_core_teto,RESOURCE,A mysterious talking fruit that happens to contain an AI persona.,,,,
na_echo,SHIP,"While Nightcross Armory Corporation eschewed carrier doctrine as a whole, projecting a decline in demand for such products in a sector brimming with increasingly lethal and destructive weaponry, the Moonbeam class nonetheless emerged during an era where multi-theater heavy strikecraft were the next frontier in weapons development.

Possessing an aerodynamic design and a hangar bay for servicing of strikecraft, the Moonbeam is able to participate in planetside operations, raining heavy and direct firepower from the skies while operating as a command hub for elite strike squadrons. In space, its advantages are readily apparent as are its weaknesses; supreme mobility at the cost of an inflexible loadout and a lightweight, fragile frame. The only saving grace for captains caught with their shields down is that much of the airframe is redundant for space operations, allowing its wings to be shot off without compromising hull integrity.",,,,
na_mare,SHIP,A heavily-armed frigate with a destroyer grade flux core and Nightcross dynamic conduit system. Its history traces to a redacted weapons program from before the collapse--the details are lost to history.,,,,
na_mare_proto,SHIP,"What appears to be an variant of the Mare Crisium-type frigate turns out to be a vastly different build. Rather than a shielded craft, the internals reflect a phase vessel centered around a highly nonstandard phase coil which is somehow missing, replaced with perfectly spherical void in the heart of the vessel. Retrofitting a standard phase coil renders the ship operational, but the mystery remains.",,,,
na_sop,SHIP,"A heavy corvette designed for hit-and-run purposes. Possessing a strong shield generator and gravitic slingshot, it can quickly dash around enemy vessels and unleash havoc on exposed flanks.",,,,
na_sop_proto,SHIP,"A String of Pearls-type corvette seemingly redesigned around a space for a phase coil. The coil itself appears to be missing, however, replaced with a perfectly spherical void. The vessel itself appears to be infected with a hostile program that causes malfunctions in any ship within comms range, and all attempts to remove the program have been met with failure. The computer systems show a message on boot: ""I can't stand being human like this.""",,,,
na_macula,SHIP,An experimental destroyer possessing advanced shield technology and a patented spatial distortion device to help force engagements.,,,,
na_losulci,SHIP,"Some view it as Nightcross Armory Corporation's crowning achievement; others consider it an accomplishment that such a project ever came to fruition. Arrays of overloaded flux conduits strewn across the hull are veiled in centuries-old hardlight shielding, a remnant from a time when shields required huge and vulnerable projectors. Nonetheless, despite numerous design compromises, the Lo Sulci is the largest vessel ever fielded by the Nightcross planetary navy before its unfortunate demise.",,,,
na_energyorb,SHIP,"A support drone equipped with an overclocked Stunpulse variant. While the long-term maintenance of such a weapons system is generally costly, the whole drone package is easily replaced. The energetic ordnance is effective against shields, fighters, and missiles alike.",,,,
na_sparkbolt,SHIP,Fire-support drone equipped with an electron laser tuned for range and precision over power output.,,,,
na_magura,SHIP,"A rare fighter offering by Nightcross corporation. Originally a fanciful project dreamt up by one high-ranking executive, the Magura has since made a reputation for itself as a terrifying foe among the stars. Armed with the fearsome Minirazor, it can threaten frigate shields with ease and even snipe unsuspecting bomber pilots with the bright red spark of death.",,,,
na_magicmissile,SHIP,"After the Minirazor weapons system received stellar reviews from the families of enemy fighter pilots shot down by NCA Magura fighters, the corporation decided to mount it aboard an expendable drone chassis, aimed at delivering a burst of energy firepower to take down frigates and lightly armored craft.",,,,
na_luminousdrill,SHIP,"A utility drone repurposed as a deadly melee-ranged attacker. Armed with a close-ranged plasma torch, their programming directs them to slice apart enemy armor before they are inevitably swatted down by weapons fire.",,,,
na_luminousdrill_repair,SHIP,"A utility drone equipped with a standard issue plasma torch. While unable to cause significant damage to enemy craft, its primary use lies in the ability to conduct emergency patchwork repair on damaged vessels, up to 25% of total hull.",,,,
na_shieldbattery,SHIP,"A floating shield generator with an inverted operating mode, allowing it to redirect hard flux from allied vessels into its own robust (for its size) flux grid. In combat, it can weaponize this feature in order to fire EMP bolts at enemy craft, but it is a frail machine and should not be subjected to direct enemy fire.",,,,
na_fossa,SHIP,A fast attack destroyer with a robust power grid and durable shield. Its fast recharge subsystem allows it to take advantage of advanced weapons platforms pioneered by Nightcross Armory Corporation.,,,,
na_nammu,SHIP,"A dedicated support vessel, designed to aid in fleet logistics while providing missile support to fleets in combat. Its drones provide it with the ability to provide onsite repair capabilities and stabilize the shields of targets under fire.",,,,
na_tessera,SHIP,"A light cruiser designed purely for spaceborne operations, informed by learnings from the Fossa Magna's Chroma Reactor and the Moonbeam's overtuned thrusters. The Tessera Magu is a cutting-edge killing machine, fast and deadly, capable of putting its reactor into overdrive for brief periods in order to supercharge its weapons and mobility.",,,,
na_elyurias,SHIP,"Born to rain down death across vast distances, the Elyurias was the lynchpin of the Nightcross Planetary Defense Force prior to its dissolution. Equipped with an advanced combat-rated missile forge, its flux grid powered a punishing array of long-ranged weapons supported by an unending barrage of relativistic missiles. Today, the Elyurias is a rarer sight as a supporting vessel in independent battlegroups.",,,,
na_macula_proto,SHIP,"A Krun Macula-type experimental destroyer found adrift in space, seemingly retrofitted to utilize phase technology and possessing two unusual devices that presumably once functioned as phase coils. One of the devices, however, has been replaced with a perfectly spherical void. The craft functions like a normal phase ship once retrofitted with standard phase coils, but the unusual device in the other space seems to produce an unnerving effect on the crew when activated.",,,,
